"Transaction Hash","Timestamp","From","To","Transaction Type","Asset Contract Address","Asset Symbol / Name","Token ID","Amount","Gas Fee (ETH)"
"0xd0c1fe5d8d4aa154133494c451235cb77609c818e7cf539aa29cc82116956216","2024-01-09T06:41:11Z","0xee0012ff28b64b86fa7044f46b3d4778e1024a58","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","200000000000000000","0.000270168321465"
"0x75d0f57360d8d4250197fb6950be113fcf0210cd692134ddb035398fec4f2e00","2024-01-09T07:14:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00220312"
"0x646f6677fcbc68beedf5ce12a1b9fce40acbf38fcfae81eddd7aa34622293e3e","2024-01-09T07:16:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.0024869"
"0xc286aad83ef8cdd5d9a6bc727612b01fc532b3c2da58fb366e5db9df2d52854a","2024-01-09T07:21:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00246126"
"0x800e3aca345ebaa0e2a5345c501e8cbb99cb6a92b4920138176f887229c9b001","2024-01-09T07:21:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00067204"
"0x7c52417212b6d1671349bf79bd497dcaba4cd1bca410caf819359912a621d128","2024-01-09T07:21:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.0021195"
"0xc8d530da849301d674fc78ca88c2e6dfd8e834298075a5d52e3e40daedec7961","2024-01-09T07:23:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00185744"
"0xd3e0b072b1761e32cbf3407d865673b4d09127e06b4d3d496a332afd3618a880","2024-01-09T07:25:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00195405"
"0x31e9b937f75ef33f1075fe1790fe9f496800394d462f0bb2e51d11dd20fb5dbf","2024-01-09T07:27:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00245679783500383"
"0x78858bd826e1b63fce7aa689e2d9c4f1ae3aadb9f21a42c0717a10bb2bf6c614","2024-01-09T07:27:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00080143408319567"
"0x8ce3f7ded643ba11abbfefb99c6de5568904de8f5ab93570c9bc7e833d3fd441","2024-01-09T17:24:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.00051177"
"0x7e5b316dbc15d864b0ebf6cdf08bd3a8abd99b610fb93a098126eb20da1985d4","2024-01-09T17:25:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000480210571974"
"0x3f0b7aa8eb1559727041fdcc5615842c3473a40cd32e6ade563a3cd91618cec9","2024-01-09T17:26:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000525"
"0xdf925331b0b4a1fcd262f849a57d518651e74578a94843fc4afd56401bf52ab6","2024-01-09T17:28:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000461682560766"
"0x5e1eb98d0f8639774431f5b5fb79c9e198493e3bcec723885078a7d9044e1843","2024-01-09T17:29:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000493329760056"
"0x75480daf3e478ef596a5a6ee0331d352db6a304be754fb013437d08b721db0df","2024-01-09T17:31:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000502859155113"
"0x3cfbdf715653f6e34b0f856b451539d38552a7e6e711dd56f050515607eb0495","2024-01-09T17:31:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00065299522926416"
"0x6f9771a5a2da402fcb07701bdafad48c040ffb9b602520707347f6f884ac4b2e","2024-01-09T17:32:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000616920593961"
"0xf37c54ad44d8d55e0e1075e533a2479fd009d607615cf4e6451d633aa39d5f22","2024-01-09T17:34:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000524416332804"
"0xe806c80649de3cc16db44028f8786149d78d57785c0dca119367f09c0183f67b","2024-01-12T11:48:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.002400835350913826"
"0x4e1ba968e8a862865921aef41c94046983cfbffa8b8ce46438c926e90979ff8b","2024-01-12T11:50:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00220688"
"0x6c296f3cad3365b9391fb21135818fe97959c9d5a5453ac722a4e2615d99b993","2024-01-12T11:51:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.000662309761681558"
"0x2f7d26a7eeed274a0d68eb768918d55f2749f5644aec975779bd6ee9441a8e1d","2024-01-12T11:51:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.000712942591458095"
"0xd7bf607ae2ab0dc68aeed6e36d806749f4320861a33925197ee9590bc27d308f","2024-01-12T11:51:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.000722660000036133"
"0xa751fa29c2267a548733bb8d818f031cf2307bead9513f656617f01d432dd74f","2024-01-12T11:51:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.000722420000036121"
"0xa4400c5ecedb1c4e525656450e9e0de928f78e82de7be5a74e969187cef444bd","2024-01-12T11:51:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.000722420000036121"
